sample_id,official_split,image_relpath,map_relpath
100273,train,images/images/train/COCO_train2014_000000100273.jpg,maps/train/COCO_train2014_000000100273.png
100282,train,images/images/train/COCO_train2014_000000100282.jpg,maps/train/COCO_train2014_000000100282.png
100303,train,images/images/train/COCO_train2014_000000100303.jpg,maps/train/COCO_train2014_000000100303.png
100311,train,images/images/train/COCO_train2014_000000100311.jpg,maps/train/COCO_train2014_000000100311.png
100319,train,images/images/train/COCO_train2014_000000100319.jpg,maps/train/COCO_train2014_000000100319.png
100331,train,images/images/train/COCO_train2014_000000100331.jpg,maps/train/COCO_train2014_000000100331.png
100396,train,images/images/train/COCO_train2014_000000100396.jpg,maps/train/COCO_train2014_000000100396.png
10046,train,images/images/train/COCO_train2014_000000010046.jpg,maps/train/COCO_train2014_000000010046.png
100530,train,images/images/train/COCO_train2014_000000100530.jpg,maps/train/COCO_train2014_000000100530.png
100579,train,images/images/train/COCO_train2014_000000100579.jpg,maps/train/COCO_train2014_000000100579.png
100717,train,images/images/train/COCO_train2014_000000100717.jpg,maps/train/COCO_train2014_000000100717.png
100817,train,images/images/train/COCO_train2014_000000100817.jpg,maps/train/COCO_train2014_000000100817.png
100821,train,images/images/train/COCO_train2014_000000100821.jpg,maps/train/COCO_train2014_000000100821.png
10083,train,images/images/train/COCO_train2014_000000010083.jpg,maps/train/COCO_train2014_000000010083.png
100901,train,images/images/train/COCO_train2014_000000100901.jpg,maps/train/COCO_train2014_000000100901.png
100910,train,images/images/train/COCO_train2014_000000100910.jpg,maps/train/COCO_train2014_000000100910.png
100975,train,images/images/train/COCO_train2014_000000100975.jpg,maps/train/COCO_train2014_000000100975.png
101014,train,images/images/train/COCO_train2014_000000101014.jpg,maps/train/COCO_train2014_000000101014.png
101033,train,images/images/train/COCO_train2014_000000101033.jpg,maps/train/COCO_train2014_000000101033.png
101069,train,images/images/train/COCO_train2014_000000101069.jpg,maps/train/COCO_train2014_000000101069.png
101094,train,images/images/train/COCO_train2014_000000101094.jpg,maps/train/COCO_train2014_000000101094.png
1011,train,images/images/train/COCO_train2014_000000001011.jpg,maps/train/COCO_train2014_000000001011.png
101110,train,images/images/train/COCO_train2014_000000101110.jpg,maps/train/COCO_train2014_000000101110.png
101234,train,images/images/train/COCO_train2014_000000101234.jpg,maps/train/COCO_train2014_000000101234.png
101310,train,images/images/train/COCO_train2014_000000101310.jpg,maps/train/COCO_train2014_000000101310.png
101355,train,images/images/train/COCO_train2014_000000101355.jpg,maps/train/COCO_train2014_000000101355.png
101362,train,images/images/train/COCO_train2014_000000101362.jpg,maps/train/COCO_train2014_000000101362.png
1014,train,images/images/train/COCO_train2014_000000001014.jpg,maps/train/COCO_train2014_000000001014.png
101426,train,images/images/train/COCO_train2014_000000101426.jpg,maps/train/COCO_train2014_000000101426.png
101510,train,images/images/train/COCO_train2014_000000101510.jpg,maps/train/COCO_train2014_000000101510.png
101548,train,images/images/train/COCO_train2014_000000101548.jpg,maps/train/COCO_train2014_000000101548.png
101569,train,images/images/train/COCO_train2014_000000101569.jpg,maps/train/COCO_train2014_000000101569.png
101697,train,images/images/train/COCO_train2014_000000101697.jpg,maps/train/COCO_train2014_000000101697.png
101713,train,images/images/train/COCO_train2014_000000101713.jpg,maps/train/COCO_train2014_000000101713.png
101719,train,images/images/train/COCO_train2014_000000101719.jpg,maps/train/COCO_train2014_000000101719.png
10175,train,images/images/train/COCO_train2014_000000010175.jpg,maps/train/COCO_train2014_000000010175.png
10176,train,images/images/train/COCO_train2014_000000010176.jpg,maps/train/COCO_train2014_000000010176.png
101761,train,images/images/train/COCO_train2014_000000101761.jpg,maps/train/COCO_train2014_000000101761.png
101814,train,images/images/train/COCO_train2014_000000101814.jpg,maps/train/COCO_train2014_000000101814.png
101874,train,images/images/train/COCO_train2014_000000101874.jpg,maps/train/COCO_train2014_000000101874.png
101894,train,images/images/train/COCO_train2014_000000101894.jpg,maps/train/COCO_train2014_000000101894.png
101904,train,images/images/train/COCO_train2014_000000101904.jpg,maps/train/COCO_train2014_000000101904.png
102090,train,images/images/train/COCO_train2014_000000102090.jpg,maps/train/COCO_train2014_000000102090.png
102111,train,images/images/train/COCO_train2014_000000102111.jpg,maps/train/COCO_train2014_000000102111.png
102133,train,images/images/train/COCO_train2014_000000102133.jpg,maps/train/COCO_train2014_000000102133.png
102171,train,images/images/train/COCO_train2014_000000102171.jpg,maps/train/COCO_train2014_000000102171.png
102205,train,images/images/train/COCO_train2014_000000102205.jpg,maps/train/COCO_train2014_000000102205.png
102281,train,images/images/train/COCO_train2014_000000102281.jpg,maps/train/COCO_train2014_000000102281.png
