sample_id,project_split,official_split,image_relpath,map_relpath
100273,train,train,images/images/train/COCO_train2014_000000100273.jpg,maps/train/COCO_train2014_000000100273.png
100282,train,train,images/images/train/COCO_train2014_000000100282.jpg,maps/train/COCO_train2014_000000100282.png
100303,train,train,images/images/train/COCO_train2014_000000100303.jpg,maps/train/COCO_train2014_000000100303.png
100311,train,train,images/images/train/COCO_train2014_000000100311.jpg,maps/train/COCO_train2014_000000100311.png
100319,train,train,images/images/train/COCO_train2014_000000100319.jpg,maps/train/COCO_train2014_000000100319.png
100331,train,train,images/images/train/COCO_train2014_000000100331.jpg,maps/train/COCO_train2014_000000100331.png
100396,train,train,images/images/train/COCO_train2014_000000100396.jpg,maps/train/COCO_train2014_000000100396.png
10046,train,train,images/images/train/COCO_train2014_000000010046.jpg,maps/train/COCO_train2014_000000010046.png
100530,train,train,images/images/train/COCO_train2014_000000100530.jpg,maps/train/COCO_train2014_000000100530.png
100579,train,train,images/images/train/COCO_train2014_000000100579.jpg,maps/train/COCO_train2014_000000100579.png
100717,train,train,images/images/train/COCO_train2014_000000100717.jpg,maps/train/COCO_train2014_000000100717.png
100817,train,train,images/images/train/COCO_train2014_000000100817.jpg,maps/train/COCO_train2014_000000100817.png
100821,train,train,images/images/train/COCO_train2014_000000100821.jpg,maps/train/COCO_train2014_000000100821.png
10083,train,train,images/images/train/COCO_train2014_000000010083.jpg,maps/train/COCO_train2014_000000010083.png
100901,train,train,images/images/train/COCO_train2014_000000100901.jpg,maps/train/COCO_train2014_000000100901.png
100910,train,train,images/images/train/COCO_train2014_000000100910.jpg,maps/train/COCO_train2014_000000100910.png
100975,train,train,images/images/train/COCO_train2014_000000100975.jpg,maps/train/COCO_train2014_000000100975.png
101014,train,train,images/images/train/COCO_train2014_000000101014.jpg,maps/train/COCO_train2014_000000101014.png
101033,train,train,images/images/train/COCO_train2014_000000101033.jpg,maps/train/COCO_train2014_000000101033.png
101069,train,train,images/images/train/COCO_train2014_000000101069.jpg,maps/train/COCO_train2014_000000101069.png
101094,train,train,images/images/train/COCO_train2014_000000101094.jpg,maps/train/COCO_train2014_000000101094.png
1011,train,train,images/images/train/COCO_train2014_000000001011.jpg,maps/train/COCO_train2014_000000001011.png
101110,train,train,images/images/train/COCO_train2014_000000101110.jpg,maps/train/COCO_train2014_000000101110.png
101234,train,train,images/images/train/COCO_train2014_000000101234.jpg,maps/train/COCO_train2014_000000101234.png
101310,train,train,images/images/train/COCO_train2014_000000101310.jpg,maps/train/COCO_train2014_000000101310.png
101355,train,train,images/images/train/COCO_train2014_000000101355.jpg,maps/train/COCO_train2014_000000101355.png
101362,train,train,images/images/train/COCO_train2014_000000101362.jpg,maps/train/COCO_train2014_000000101362.png
1014,train,train,images/images/train/COCO_train2014_000000001014.jpg,maps/train/COCO_train2014_000000001014.png
101426,train,train,images/images/train/COCO_train2014_000000101426.jpg,maps/train/COCO_train2014_000000101426.png
101510,train,train,images/images/train/COCO_train2014_000000101510.jpg,maps/train/COCO_train2014_000000101510.png
101548,train,train,images/images/train/COCO_train2014_000000101548.jpg,maps/train/COCO_train2014_000000101548.png
101569,train,train,images/images/train/COCO_train2014_000000101569.jpg,maps/train/COCO_train2014_000000101569.png
101697,train,train,images/images/train/COCO_train2014_000000101697.jpg,maps/train/COCO_train2014_000000101697.png
101713,train,train,images/images/train/COCO_train2014_000000101713.jpg,maps/train/COCO_train2014_000000101713.png
101719,train,train,images/images/train/COCO_train2014_000000101719.jpg,maps/train/COCO_train2014_000000101719.png
10175,train,train,images/images/train/COCO_train2014_000000010175.jpg,maps/train/COCO_train2014_000000010175.png
10176,train,train,images/images/train/COCO_train2014_000000010176.jpg,maps/train/COCO_train2014_000000010176.png
101761,train,train,images/images/train/COCO_train2014_000000101761.jpg,maps/train/COCO_train2014_000000101761.png
101814,train,train,images/images/train/COCO_train2014_000000101814.jpg,maps/train/COCO_train2014_000000101814.png
101874,train,train,images/images/train/COCO_train2014_000000101874.jpg,maps/train/COCO_train2014_000000101874.png
101894,train,train,images/images/train/COCO_train2014_000000101894.jpg,maps/train/COCO_train2014_000000101894.png
101904,train,train,images/images/train/COCO_train2014_000000101904.jpg,maps/train/COCO_train2014_000000101904.png
102090,train,train,images/images/train/COCO_train2014_000000102090.jpg,maps/train/COCO_train2014_000000102090.png
102111,train,train,images/images/train/COCO_train2014_000000102111.jpg,maps/train/COCO_train2014_000000102111.png
102133,train,train,images/images/train/COCO_train2014_000000102133.jpg,maps/train/COCO_train2014_000000102133.png
102171,train,train,images/images/train/COCO_train2014_000000102171.jpg,maps/train/COCO_train2014_000000102171.png
102205,train,train,images/images/train/COCO_train2014_000000102205.jpg,maps/train/COCO_train2014_000000102205.png
102281,train,train,images/images/train/COCO_train2014_000000102281.jpg,maps/train/COCO_train2014_000000102281.png
10229,train,train,images/images/train/COCO_train2014_000000010229.jpg,maps/train/COCO_train2014_000000010229.png
10230,train,train,images/images/train/COCO_train2014_000000010230.jpg,maps/train/COCO_train2014_000000010230.png
102307,train,train,images/images/train/COCO_train2014_000000102307.jpg,maps/train/COCO_train2014_000000102307.png
102377,train,train,images/images/train/COCO_train2014_000000102377.jpg,maps/train/COCO_train2014_000000102377.png
102469,train,train,images/images/train/COCO_train2014_000000102469.jpg,maps/train/COCO_train2014_000000102469.png
102529,train,train,images/images/train/COCO_train2014_000000102529.jpg,maps/train/COCO_train2014_000000102529.png
102540,train,train,images/images/train/COCO_train2014_000000102540.jpg,maps/train/COCO_train2014_000000102540.png
102655,train,train,images/images/train/COCO_train2014_000000102655.jpg,maps/train/COCO_train2014_000000102655.png
102704,train,train,images/images/train/COCO_train2014_000000102704.jpg,maps/train/COCO_train2014_000000102704.png
102754,train,train,images/images/train/COCO_train2014_000000102754.jpg,maps/train/COCO_train2014_000000102754.png
102766,train,train,images/images/train/COCO_train2014_000000102766.jpg,maps/train/COCO_train2014_000000102766.png
102787,train,train,images/images/train/COCO_train2014_000000102787.jpg,maps/train/COCO_train2014_000000102787.png
102822,train,train,images/images/train/COCO_train2014_000000102822.jpg,maps/train/COCO_train2014_000000102822.png
102862,train,train,images/images/train/COCO_train2014_000000102862.jpg,maps/train/COCO_train2014_000000102862.png
103018,train,train,images/images/train/COCO_train2014_000000103018.jpg,maps/train/COCO_train2014_000000103018.png
103228,train,train,images/images/train/COCO_train2014_000000103228.jpg,maps/train/COCO_train2014_000000103228.png
103251,train,train,images/images/train/COCO_train2014_000000103251.jpg,maps/train/COCO_train2014_000000103251.png
103332,train,train,images/images/train/COCO_train2014_000000103332.jpg,maps/train/COCO_train2014_000000103332.png
103356,train,train,images/images/train/COCO_train2014_000000103356.jpg,maps/train/COCO_train2014_000000103356.png
